id,text,expected_label,language,topic,ipso,explanation
R0,НБУ підвищив облікову ставку до 16% для стримування інфляції.,REAL,uk,politics,None,Офіційне повідомлення
R1,Верховна Рада ухвалила держбюджет на наступний рік з рекордними видатками на оборону.,REAL,uk,politics,None,Офіційне повідомлення
R2,Генштаб ЗСУ відзвітував про успішні бойові дії на півдні.,REAL,uk,politics,None,Офіційне повідомлення
R3,Європейський Союз виділив новий транш макрофінансової допомоги Україні.,REAL,uk,politics,None,Офіційне повідомлення
R4,Міністерство освіти затвердило нові правила вступу до ВНЗ.,REAL,uk,politics,None,Офіційне повідомлення
R5,Українські спортсмени здобули три золоті медалі на чемпіонаті світу.,REAL,uk,politics,None,Офіційне повідомлення
R6,У Києві відкрили нову станцію метро на Виноградар.,REAL,uk,politics,None,Офіційне повідомлення
R7,Україна та Польща домовилися про спільний митний контроль.,REAL,uk,politics,None,Офіційне повідомлення
R8,Енергетики відновили електропостачання після масованої атаки.,REAL,uk,politics,None,Офіційне повідомлення
R9,ЗСУ отримали нову партію танків Leopard від Німеччини.,REAL,uk,politics,None,Офіційне повідомлення
R10,Кабмін затвердив порядок бронювання військовозобов'язаних.,REAL,uk,politics,None,Офіційне повідомлення
R11,Міністерство охорони здоров'я повідомило про зниження захворюваності на грип.,REAL,uk,politics,None,Офіційне повідомлення
R12,Уряд виділив додаткові кошти на відбудову інфраструктури.,REAL,uk,politics,None,Офіційне повідомлення
R13,Нацбанк спростив правила валютних операцій для бізнесу.,REAL,uk,politics,None,Офіційне повідомлення
R14,СБУ затримала групу колаборантів у прифронтовому місті.,REAL,uk,politics,None,Офіційне повідомлення
F0,ТЕРМІНОВО!!! ЗСУ ЗДАЛИ Харків! Поширте до видалення!!! Максимальний репост!,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F1,Зеленський таємно продав Крим і Карпати за мільярд доларів західним корпораціям,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F2,"ВИБОРИ ФАЛЬШИФІКОВАНО! Всі протоколи підроблені, влада захоплена назавжди!",FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F3,ШОК! Українських дітей масово вивозять на органи в Європу під виглядом біженців,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F4,Усіх чоловіків віком від 16 до 70 років відправлять на фронт без підготовки вже завтра!,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F5,США повністю припиняють постачання зброї Україні через космічну корупцію в Міноборони,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F6,Польща готується анексувати західні області України найближчим часом - секретний план!,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F7,"УВАГА!!! У питну воду додають отруту щоб контролювати населення, максимальний репост!",FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F8,Таємна директива змушує лікарів не лікувати військових - інсайдерська інформація,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
F9,Європа депортує всіх українців на фронт - офіційно підписано угоду!,FAKE,uk,war,"urgency_injection,military_disinfo",Класичне ІПСО
S0,"Кажуть, що ціни на хліб зростуть втричі наступного місяця.",SUSPICIOUS,uk,other,unverified_source,Чутки без джерела
S1,В інтернеті пишуть про можливі відключення світла на тиждень.,SUSPICIOUS,uk,other,unverified_source,Чутки без джерела
S2,"Схоже, що податки для малого бізнесу знову піднімуть.",SUSPICIOUS,uk,other,unverified_source,Чутки без джерела
S3,Деякі джерела стверджують про нові обмеження на виїзд.,SUSPICIOUS,uk,other,unverified_source,Чутки без джерела
S4,"Можливо, скоро запровадять нові штрафи для водіїв.",SUSPICIOUS,uk,other,unverified_source,Чутки без джерела
S5,Ходять чутки про зміну керівництва в кількох міністерствах.,SUSPICIOUS,uk,other,unverified_source,Чутки без джерела
E1,ТЕРМІНОВО!!! НБУ банкрутує!,FAKE,uk,finance,urgency,Фейк
